indicator_id,uid
che_ncu2020_pc,OAGOz1AuiQV
che_ppp_pc,S2qiBSP1HJy
gghed_ncu2020_pc,OyWweV5ivnF
public_ppp_pc,uIPa97jiZTa
vhi_ppp_pc,eoK8dvXGj5Q
oop_ncu2020_pc,m6Ua21CL6YZ
oop_ppp_pc,mY4PpNNjwVf
gghed_gge,aYK8f4GuHBP
gghed_gdp,qO6diSOTqhL
vhi_che,CwSSBtOK1VT
hf1_che,aiCkAcwWPOQ
hf2_che,ygo5a7mdudU
hf3_che,SKi7UzTsnJS
fs5_che,CIsjoVbzv6X
oop_che,S8OMD0f9IZp
other_che,mIAyinnWgfu
tran_shi,aQO4PFDYh0K
gdp_ppp_pc,Gquev7KGHWq
gghed_che,yOmEYW4OgYj
gghed_che,yOmEYW4OgYj
oop_che,S8OMD0f9IZp
vhi_ncu2020_pc,W22ZL143ENs
fs3_che,qqcLQZy4Ghr
fs11_che,eOEJ3kpgn99
