asimov       # Command '['ssh', 'asimov', '/bin/sh']' returned non-zero exit status 1.
clark6       # 02:00.0 VGA compatible controller: NVIDIA Corporation Device 1b80 (rev a1) 03:00.0 VGA compatible controller: NVIDIA Corporation GK107 [NVS 510] (rev a1)
asimov-dos   # 07:00.0 VGA compatible controller: ASPEED Technology, Inc. ASPEED Graphics Family (rev 30) 82:00.0 VGA compatible controller: NVIDIA Corporation GM107 [GeForce GTX 750 Ti] (rev a2)
clark-cinco  # 05:00.0 VGA compatible controller: ASPEED Technology, Inc. ASPEED Graphics Family (rev 10)
arquimedes   # 07:00.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200EV
euler        # 04:03.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200eW WPCM450 (rev 0a)
faraday      # 01:03.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200eW WPCM450 (rev 0a)
copernico    # 01:03.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200eW WPCM450 (rev 0a)
carver       # 02:00.0 VGA compatible controller: NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1) 03:00.0 VGA compatible controller: NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1) 06:00.0 VGA compatible controller: ASPEED Technology, Inc. ASPEED Graphics Family (rev 30) 82:00.0 VGA compatible controller: NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1) 83:00.0 VGA compatible controller: NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)
einstein-dos # 02:00.0 VGA compatible controller: NVIDIA Corporation GP100GL (rev a1) 03:00.0 VGA compatible controller: NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1) 81:00.0 VGA compatible controller: NVIDIA Corporation GM107GL [Quadro K620] (rev a2)
nolan        # 0b:00.0 VGA compatible controller: Matrox Electronics Systems Ltd. G200eR2 (rev 01) 82:00.0 VGA compatible controller: NVIDIA Corporation Device 1b81 (rev a1)
heisenberg   # 04:03.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200eW WPCM450 (rev 0a)
peano        # 01:03.0 VGA compatible controller: Matrox Electronics Systems Ltd. MGA G200eW WPCM450 (rev 0a)
rinchen-dos  # 0a:00.0 VGA compatible controller: Matrox Electronics Systems Ltd. G200eR2 (rev 01)
rinchen      # 0a:00.0 VGA compatible controller: Matrox Electronics Systems Ltd. G200eR2 (rev 01)
torvalds     # 04:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 05:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 08:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 09:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 0c:00.0 VGA compatible controller: ASPEED Technology, Inc. ASPEED Graphics Family (rev 30) 85:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 86:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 89:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1) 8a:00.0 VGA compatible controller: NVIDIA Corporation GP102 [GeForce GTX 1080 Ti] (rev a1)
scipionbox   # 03:00.0 VGA compatible controller: NVIDIA Corporation Device 1b81 (rev a1) 81:00.0 VGA compatible controller: NVIDIA Corporation Device 1b81 (rev a1) 82:00.0 VGA compatible controller: NVIDIA Corporation GM204GL [Quadro M4000] (rev a1)
hilbert      # Command '['ssh', 'hilbert', '/bin/sh']' returned non-zero exit status 1.
finlay       # 02:00.0 VGA compatible controller: NVIDIA Corporation GP102 [TITAN Xp] (rev a1) 03:00.0 VGA compatible controller: NVIDIA Corporation GP102 [TITAN Xp] (rev a1) 81:00.0 VGA compatible controller: NVIDIA Corporation GM206GL [Quadro M2000] (rev a1)
behring      # Command '['ssh', 'behring', '/bin/sh']' timed out after 10 seconds
